#flechtk,Gattung,fl_spec
apa,Abrothallus,parmeliarum
acv,Acarospora,cervina
afu,Acarospora,fuscata
agl,Acarospora,glaucocarpa
amo,Acarospora,moenium
ams,Acarospora,macrospora
ani,Acarospora,nitrophila
ave,Acarospora,versicolor
paa,Acarospora,paupera
pel,Acarospora,peliscypha
um,Acarospora,umbilicata
aan,Acremonium,antarcticum
gem,Acrocordia,gemmata
atr,Agonimia,tristicula
opu,Agonimia,opuntiella
ova,Alyxoria,varia
pun,Amandinea,punctata
cil,Anaptychia,ciliaris
apo,Anisomeridium,polypori
bif,Anisomeridium,biforme
aap,Arthonia,apotheciorum
adi,Arthonia,dispersa
aep,Arthonia,epiphysciae
aga,Arthonia,galactinaria
aph,Arthonia,phaeophysciae
did,Arthonia,didyma
mol,Arthonia,molendoi
rad,Arthonia,radiata
aal,Arthopyrenia,analepta
aci,Arthopyrenia,cinereopruinosa
agr,Arthopyrenia,grisea
rua,Arthothelium,ruanum
cer,Athallia,cerinella
hol,Athallia,pyracea
aar,Athelia,arachnoidea
bci,Bacidia,circumspecta
bfu,Bacidia,fuscoviridis
big,Bacidia,igniarii
bsu,Bacidia,subincompta
bvi,Bacidia,viridifarinosa
rce,Bacidia,arceutina
ros,Bacidia,rosella
rub,Bacidia,rubella
arn,Bacidina,arnoldiana
bac,Bacidina,spec.
bch,Bacidina,chloroticula
bne,Bacidina,neosquamulosa
cag,Bacidina,caligans
del,Bacidina,delicata
ege,Bacidina,egenula
ulp,Bacidina,sulphurella
bag,Bagliettoa,spec.
bpa,Bagliettoa,parmigerella
bic,Biatora,chrysantha
sab,Bilimbia,sabuletorum
les,Botryolepraria,lesdainii
bry,Bryoria,spec.
fus,Bryoria,fuscescens
aet,Buellia,aethalea
bad,Buellia,badia
bba,Buellia,badia
gr,Buellia,griseovirens
bll,Buelliella,physciicola
cal,Calicium,adspersum
csp,Calicium,spec.
g,Calicium,glaucellum
sa,Calicium,salicinum
ar,Caloplaca,arnoldii ssp. obliterata
arc,Caloplaca,arcis
are,Caloplaca,arenaria
bia,Caloplaca,biatorina
ca,Caloplaca,spec.
caa,Caloplaca,albolutescens
cac,Caloplaca,cirrochroa
cc,Caloplaca,crenularia
ccc,Caloplaca,cerinella/cerinelloides
cce,Caloplaca,cerinelloides
cch,Caloplaca,chlorina
ccr,Caloplaca,crenulatella
ccy,Caloplaca,chrysophthalma
cda,Caloplaca,dalmatica
cde,Caloplaca,decipiens
ce,Caloplaca,cerina var. cerina
cfe,Caloplaca,flavescens
cfv,Caloplaca,flavovirescens
cit,Caloplaca,citrina
cla,Caloplaca,lactea
clc,Caloplaca,chrysodeta
clu,Caloplaca,lucifuga
csa,Caloplaca,saxicola
cva,Caloplaca,variabilis
dic,Caloplaca,dichroa
eri,Caloplaca,cerina var. chloroleuca
her,Caloplaca,herbidella
ho,Caloplaca,holocarpa
imm,Caloplaca,grimmiae
lim,Caloplaca,limonia
lll,Caloplaca,subpallida
lut,Caloplaca,luteoalba
oas,Caloplaca,oasis
obs,Caloplaca,obscurella
pau,Caloplaca,cf. paulii
phl,Caloplaca,phlogina
pua,Caloplaca,pusilla alte flechtk
pus,Caloplaca,pusilla
rud,Caloplaca,ruderum
soa,Caloplaca,soralifera
tei,Caloplaca,teicholyta
ulc,Caloplaca,ulcerosa
ura,Caloplaca,aurantia
xer,Caloplaca,xerica
co,Candelaria,concolor
pac,Candelaria,pacifica
aur,Candelariella,aurella
cas,Candelariella,spec.
cco,Candelariella,coralliza
csu,Candelariella,subdeflexa
eff,Candelariella,efflorescens
lex,Candelariella,reflexa s. str.
med,Candelariella,medians
plu,Candelariella,plumbea
ref,Candelariella,reflexa s. l.
uni,Candelariella,aurella var. unilocularis
via,Candelariella,viae-lacteae
vit,Candelariella,vitellina
xa,Candelariella,xanthostigma
xan,Candelariella,reflexa/xanthostigma
cvi,Carbonea,vitellinaria
chy,Catillaria,chalybeia
cni,Catillaria,nigroclavata
epi,Cercidospora,epipolytropa
ceo,Cetrelia,cetrarioides/olivetorum
oid,Cetrelia,cetrarioides
oli,Cetrelia,olivetorum
cha,Chaenotheca,spec.
cry,Chaenotheca,chrysocephala
fer,Chaenotheca,ferruginea
fu,Chaenotheca,furfuracea
pha,Chaenotheca,phaeocephala
trc,Chaenotheca,trichialis
chp,Chaenothecopsis,pusilla
lca,Chrysothrix,candelaris
ac,Circinaria,calcarea
aca,Circinaria,caesiocinerea
aco,Circinaria,contorta ssp. contorta
aho,Circinaria,contorta ssp. hoffmanniana
ont,Circinaria,contorta s.l.
cio,Cladonia,coniocraea
cl,Cladonia,spec.
cly,Cladonia,pyxidata ssp. chlorophaea
cmo,Cladonia,monomorpha
dig,Cladonia,digitata
fim,Cladonia,fimbriata
oph,Cladonia,chlorophaea agg.
pyx,Cladonia,pyxidata agg.
yxi,Cladonia,pyxidata ssp. pyxidata
mon,Clauzadea,monticola
hyp,Clypeococcum,hypocenomycis
pi,Coenogonium,pineti
cau,Collema,auriforme
cax,Collema,tenax
cfu,Collema,fuscovirens
cri,Collema,crispum
fa,Collema,fasciculare
ni,Collema,nigrescens
occ,Collema,occultatum
lic,Cornutispora,lichenicola
dca,Diploicia,canescens
dsc,Diploschistes,scruposus
mus,Diploschistes,muscorum
dal,Diplotomma,alboatrum
por,Diplotomma,porphyricum
eif,Eiglera,flavida
epu,Endocarpon,pusillum
uug,Endococcus,rugosulus
div,Evernia,divaricata
pru,Evernia,prunastri
cap,Flavoparmelia,caperata
sor,Flavoparmelia,soredians
cfl,Flavoplaca,flavocitrina
fl,Flavopunctelia,flaventior
tot,Flechtenthallus,abgestorben
scr,Graphis,scripta
gre,Grünalgen,außer Trentepohlia
der,Gyalecta,derivata
fag,Gyalecta,fagicola
gca,Gyalecta,carneola
jen,Gyalecta,jenensis
hae,Haematomma,ochroleucum
olu,Haematomma,ochroleucum var. ochroleucum
hvi,Halecania,viridescens
adg,Hyperphyscia,adglutinata
hca,Hypocenomyce,caradocensis
sca,Hypocenomyce,scalaris
bi,Hypogymnia,bitteri
fan,Hypogymnia,farinacea
phy,Hypogymnia,physodes
tub,Hypogymnia,tubulosa
afr,Hypotrachyna,afrorevoluta
rev,Hypotrachyna,revoluta
chr,Illosporiopsis,christiansenii
ale,Imshaugia,aleurites
ana,Jamesiella,anastomosans
cro,Lecania,croatica
cyr,Lecania,cyrtella
ery,Lecania,erysibe
hya,Lecania,hyalina
inu,Lecania,inundata
ltu,Lecania,turicensis
nae,Lecania,naegelii
nia,Lecania,spec.
rab,Lecania,rabenhorstii
syl,Lecania,sylvestris
tui,Lecania,turicensis
ag,Lecanora,agardhiana
ait,Lecanora,aitema
al,Lecanora,albella
all,Lecanora,allophana
ant,Lecanora,antiqua
bar,Lecanora,barkmaniana
cam,Lecanora,campestris
car,Lecanora,carpinea
chl,Lecanora,chlarotera
cir,Lecanora,circumborealis
com,Lecanora,compallens
con,Lecanora,conizaeoides
cre,Lecanora,crenulata
di,Lecanora,dispersella
exp,Lecanora,expallens
flo,Lecanora,flotoviana
hag,Lecanora,hagenii-Gr. (L.hagenii, L.persimilis, L.sambuci)
hor,Lecanora,horiza
imp,Lecanora,impudens
int,Lecanora,intumescens
lal,Lecanora,albescens
lar,Lecanora,argentata
ldi,Lecanora,dispersa
lds,Lecanora,dispersa s.l.
lfi,Lecanora,filamentosa
lgl,Lecanora,glabrata
lha,Lecanora,hagenii
lor,Lecanora,orosthea
lpo,Lecanora,polytropa
lsa,Lecanora,saligna var. sarcopis
lsp,Lecanora,spec.
lva,Lecanora,variolascens
mur,Lecanora,muralis ssp. muralis
nem,Lecanora,subcarpinea
pan,Lecanora,pannonica
pul,Lecanora,pulicaris
rrp,Lecanora,rupicola ssp. rupicola
sal,Lecanora,saligna
sam,Lecanora,sambuci
sem,Lecanora,semipallida
sim,Lecanora,persimilis
sin,Lecanora,sinuosa
slp,Lecanora,sulphurea
sos,Lecanora,subrugosa
str,Lecanora,cf. strobilina
su,Lecanora,subfusca-Gr.
svs,Lecanora,saligna var. saligna
sym,Lecanora,symmicta
thy,Lecanora,thysanophora
var,Lecanora,varia
ler,Lecidea,erythrophaea
lfu,Lecidea,fuscoatra
lgr,Lecidea,grisella
ull,Lecidea,pullata
va,Lecidea,variegatula
cpt,Lecidella,carpathica
ela,Lecidella,elaeochroma f. soralifera
lec,Lecidella,elaeochroma
lfs,Lecidella,flavosorediata
lst,Lecidella,stigmatea
sc,Lecidella,scabra
mo,Lemmopsis,arnoldiana
chz,Lempholemma,chalazanum
inc,Lepraria,incana
llo,Lepraria,lobificans
mem,Lepraria,membranacea
neg,Lepraria,neglecta
rig,Lepraria,rigidula
vou,Lepraria,vouauxii
lli,Leptogium,lichenoides
lpu,Leptogium,pulvinatum
lte,Leptogium,tenuissimum
pli,Leptogium,plicatile
sat,Leptogium,saturninum
ter,Leptogium,teretiusculum
lpa,Licea,parasitica
ob,Lichenochora,obscurioides
wei,Lichenochora,weillii
ero,Lichenoconium,erodens
le,Lichenoconium,lecanorae
lxa,Lichenoconium,xanthoriae
l,Lichenodiplis,lecanorae
lob,Lobaria,pulmonaria
ra,Lobothallia,radiosa
au,Marchandiobasidium,aurantiacum
mco,Marchandiomyces,corallinus
fui,Melanelixia,fuliginosa
gla,Melanelixia,fuliginosa/glabratula/subaurifera
pg,Melanelixia,glabra
pga,Melanelixia,glabratula/fuliginosa
psu,Melanelixia,subaurifera
s,Melanelixia,subargentifera
xgl,Melanelixia,glabratula
ele,Melanohalea,elegantula
exa,Melanohalea,exasperatula
lac,Melanohalea,laciniatula
pex,Melanohalea,exasperata
den,Micarea,denigrata
mmi,Micarea,micrococca
mpr,Micarea,prasina agg.
moo,Moose,spp.
err,Muellerella,erratica
mli,Muellerella,lichenicola
epx,Mycobilimbia,epixanthoides
alp,Mycoblastus,alpinus
st,Mycoblastus,fucatus
hep,Myriospora,heppii
nhi,Nectriopsis,aff. hirta
pu,Normandina,pulchella
afl,Ochrolechia,alboflavescens
and,Ochrolechia,androgyna
arb,Ochrolechia,arborea
mic,Ochrolechia,microstictoides
och,Ochrolechia,turneri/microstictoides
pa,Ochrolechia,parella
tur,Ochrolechia,turneri
dem,Opegrapha,demutata
niv,Opegrapha,niveoatra
ope,Opegrapha,spec.
ruf,Opegrapha,rufescens
ver,Opegrapha,vermicellifera
vul,Opegrapha,vulgata
fal,Oxneria,huculica
huc,Oxneria,huculica
ulo,Oxneria,ulophyllodes
oro,Paranectria,oropensis
psa,Parmelia,saxatilis
sax,Parmelia,ernstiae
ser,Parmelia,serrana
smt,Parmelia,submontana
sul,Parmelia,sulcata
pas,Parmelina,pastillifera
que,Parmelina,quercina
til,Parmelina,tiliacea
amb,Parmeliopsis,ambigua
pyp,Parmeliopsis,hyperopta
chi,Parmotrema,perlatum
stu,Parmotrema,stuppeum
pca,Peltigera,canina
pho,Peltigera,horizontalis
pra,Peltigera,praetextata
alb,Pertusaria,albescens
ama,Pertusaria,amara
apu,Pertusaria,amara var. pulvinata
coc,Pertusaria,coccodes
cor,Pertusaria,albescens v. corallina
fla,Pertusaria,flavida
glo,Pertusaria,albescens v. globulifera
hem,Pertusaria,hemisphaerica
hym,Pertusaria,hymenea
ina,Pertusaria,corallina
lep,Pertusaria,leprarioides
leu,Pertusaria,leioplaca
pal,Pertusaria,albescens s.l.
pco,Pertusaria,coronata
per,Pertusaria,pertusa var. pertusa
pes,Pertusaria,pertusa var. rupestris
psp,Pertusaria,spec.
sle,Pertusaria,amara var. slesvicensis
pcl,Petractis,clausa
end,Phaeophyscia,endophoenicea
hi,Phaeophyscia,hirsuta
orb,Phaeophyscia,orbicularis
nig,Phaeophysica,nigricans
arg,Phlyctis,argena
cyt,Phoma,cytospora
ads,Physcia,adscendens
aip,Physcia,aipolia/stellaris
cae,Physcia,caesia
dim,Physcia,dimidiata
dub,Physcia,dubia
pai,Physcia,aipolia
pte,Physcia,tenella ssp. tenella
pvi,Physcia,vitii
sci,Physcia,spec.
ste,Physcia,stellaris
ten,Physcia,adscendens/tenella
tri,Physcia,tribacia
pch,Physciella,chloantha
dis,Physconia,distorta
ent,Physconia,enteroxantha
gri,Physconia,grisea
pe,Physconia,perisidiosa
phs,Physconia,spec.
poc,Piccolia,ochrophora
pfu,Placopyrenium,fuscellum
das,Placynthiella,dasaea
icm,Placynthiella,icmalea
sac,Placynthiella,icmalea, alte flechtk
pni,Placynthium,nigrum
gl,Platismatia,glauca
ace,Pleurosticta,acetabulum
can,Polycaulonia,candelaria-Gr.
cuc,Polycaulonia,candelaria/ucrainica
xca,Polycaulonia,candelaria
ppu,Polycoccum,pulvinatum
pos,Polysporina,lapponica
psi,Polysporina,simplex
aen,Porina,aenea
